Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
208333998	Vespertine	1	Rogerson, Margaret	Author			Margaret K. McElderry Books (2021), 400 pages	2021					Vespertine by Margaret Rogerson (2021)	Hardcover	400 p.; 9 inches		9 inches	0.985 inches	6 inches	9 x 6 x 0.985 inches	400 							booktube	To read	English	English		[153447711X]	153447711X, 9781534477117		813.00	American fiction > Anthologies and Criticism > English (North America) > Literature		1	amazon.com books	[2021-11-11]			26128858				
208333999	Queens of Innis Lear	1	Gratton, Tessa	Author			Tor Books (2018), 402 pages	2018					Queens of Innis Lear by Tessa Gratton (2018)	Ebook	676 p.						676 							booktube	To read	English	English	PS3607.R3775 Q44	[0765392488]	0765392488, 9780765392480		813.6	21st Century > American fiction > English (North America) > Literature		1	amazon.com books	[2021-11-11]			20031380				
208334000	Sun-Daughters, Sea-Daughters	1	Ogden, Aimee	Author			Tor.com (2021), Edition: 1, 110 pages	2021					Sun-Daughters, Sea-Daughters by Aimee Ogden (2021)	Paperback	112 p.; 8 inches	0.20723452628 pounds	8 inches	0.2661412 inches	5 inches	8 x 5 x 0.2661412 inches	112 							booktube	To read	English	English		[1250782120]	1250782120, 9781250782120		813.00	American fiction > Anthologies and Criticism > English (North America) > Literature		1	amazon.com books	[2021-11-11]			24839493				
208334001	Sister of the Bollywood Bride	1	Bajpai, Nandini	Author			Poppy (2021), 304 pages	2021					Sister of the Bollywood Bride by Nandini Bajpai (2021)	Paperback	304 p.; 8.2 inches	0.6 pounds	8.2 inches	1.05 inches	5.5 inches	8.2 x 5.5 x 1.05 inches	304 							booktube	To read	English	English	PZ7.B335 S	[031670542X]	031670542X, 9780316705424		813.6	21st Century > American fiction > English (North America) > Literature		1	amazon.com books	[2021-11-11]			25747756				
208334002	XOXO	1	Oh, Axie	Author			HarperTeen (2021), 352 pages	2021					XOXO by Axie Oh (2021)	Ebook	352 p.						352 							booktube	To read	English			[]			813.6	21st Century > American fiction > English (North America) > Literature		1	amazon.com books	[2021-11-11]			25793898				
208334003	Miracle's Boys	1	Woodson, Jacqueline	Author			Speak (2006), Edition: Reprint, 144 pages	2006					Miracle's Boys by Jacqueline Woodson (2006)	Paperback	144 p.	0.21 pounds	7 inches	0.36 inches	4.28 inches	7 x 4.28 x 0.36 inches	144 							booktube	To read	English	English	PZ7.W868 M	[0142406023]	0142406023, 9780142406021	Brothers > FIction|Brothers > Fiction|Family problems > Fiction|Family problems > fiction|Orphans > Fiction|Racially mixed people > Fiction	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature		1	amazon.com books	[2021-11-11]			673863				
208334013	Phosphorescence : on awe, wonder and things that sustain you when the world goes dark	1	Baird, Julia				[London] : 4th Estate, 2020.	2020					Phosphorescence : on awe, wonder and things that sustain you when the world goes dark by Julia Baird (2020)	Ebook							320 							booktube	To read	English	English	RC280.O8	[1460710894]	1460710894, 9781460710890	Artists Biography|Editors Biography|Entertainers Biography|Journalists Biography|Lifestyles Health aspects|Publishers and publishing Biography	158	Applied Psychology > Philosophy and Psychology > Psychology		1	Sutherland Shire (NSW) Libraries	[2021-11-11]		ocn9781460710890	24434029				
208334196	Strange the Dreamer (Strange the Dreamer, 1)	1	Taylor, Laini	Author			Little, Brown Books for Young Readers (2018), Edition: Reprint, 560 pages	2018					Strange the Dreamer (Strange the Dreamer, 1) by Laini Taylor (2018)	Paperback	560 p.; 8.25 inches	1.05 pounds	8.25 inches	1.5 inches	5.5 inches	8.25 x 5.5 x 1.5 inches	560 								To read	English	English	PZ7.T214826 S	[0316341673]	0316341673, 9780316341677		813.6	21st Century > American fiction > English (North America) > Literature		1	amazon.com books	[2021-11-11]			17038885				
208376104	The Christmasaurus	5	Fletcher, Tom	Author			Yearling (2020), 400 pages	2020		4			The Christmasaurus by Tom Fletcher (2020)	Paperback	400 p.; 7.7 inches	0.6 pounds	7.7 inches	0.97 inches	5.25 inches	7.7 x 5.25 x 0.97 inches	400 							fiction	Read but unowned		English	PZ7.F6358 C	[9781524773335]	9781524773335, 1524773336		823.92	2000- > English (not North America) > English fiction > Literature > Modern Period		1	amazon.com books	[2021-11-12]			18286035				
208532467	How Not to Vampire - Season 1: So I Might Be a Vampire	1	Smith, Rodney V	Author	Goelz, Debra|Smith, Theik	Editor|Photographer	Lost Bajan Publishing (2021), 208 pages	2021					How Not to Vampire - Season 1: So I Might Be a Vampire by Rodney V Smith (2021)	Hardcover	208 p.; 9 inches	0.98987555638 pounds	9 inches	0.5 inches	6 inches	9 x 6 x 0.5 inches	208 								To read	English	English		[1775294439]	1775294439, 9781775294436					1	amazon.com books	[2021-11-16]			27317393				
